foodId,name,serving,calories,protein,totalFat,carbohydrates,saturatedFat,fiber
0,Cows' milk,1 qt.,660,32,40,48,36,0
1,Milk skim,1 qt.,360,36,t,52,t,0
2,Buttermilk,1 cup,127,9,5,13,4,0
3,"Evaporated, undiluted",1 cup,345,16,20,24,18,0
4,Fortified milk,6 cups,1373,89,42,119,23,1.4
5,Powdered milk,1 cup,515,27,28,39,24,0
6,"skim, instant",1 1/3 cups,290,30,t,42,t,0
7,"skim, non-instant",2/3 cup,290,30,t,42,t,1
8,Goats' milk,1 cup,165,8,10,11,8,0
9,(1/2 cup ice cream),2 cups,690,24,24,70,22,0
10,Cocoa,1 cup,235,8,11,26,10,0
11,skim. milk,1 cup,128,18,4,13,3,1
12,(cornstarch),1 cup,275,9,10,40,9,0
13,Custard,1 cup,285,13,14,28,11,0
14,Ice cream,1 cup,300,6,18,29,16,0
15,Ice milk,1 cup,275,9,10,32,9,0
16,Cream or half-and-half,1/2 cup,170,4,15,5,13,0
17,or whipping,1/2 cup,430,2,44,3,27,1
18,Cheese,1 cup,240,30,11,6,10,0
19,uncreamed,1 cup,195,38,t,6,t,0
20,Cheddar,1-in. cube,70,4,6,t,5,0
21,"Cheddar, grated cup",1/2 cup,226,14,19,1,17,0
22,Cream cheese,1 oz.,105,2,11,1,10,0
23,Processed cheese,1 oz.,105,7,9,t,8,0
24,Roquefort type,1 oz.,105,6,9,t,8,0
25,Swiss,1 oz.,105,7,8,t,7,0
26,Eggs raw,2,150,12,12,t,10,0
27,Eggs Scrambled or fried,2,220,13,16,1,14,0
28,Yolks,2,120,6,10,t,8,0
29,Butter,1T.,100,t,11,t,10,0
30,Butter,1/2 cup,113,114,115,118,116,117
31,Butter,1/4 lb.,113,114,115,118,116,117
32,Hydrogenated cooking fat,1/2 cup,665,0,100,0,88,0
33,Lard,1/2 cup,992,0,110,0,92,0
34,Margarine,1/2 cup,806,t,91,t,76,0
35,"Margarine, 2 pat or",1 T.,100,t,11,t,9,0
36,Mayonnaise,1 T.,110,t,12,t,5,0
37,Corn oil,1 T.,125,0,14,0,5,0
38,Olive oil,1T.,125,0,14,0,3,0
39,Safflower seed oil,1 T.,125,0,14,0,3,0
40,French dressing,1 T.,60,t,6,2,2,0
41,Thousand Island sauce,1 T.,75,t,8,1,3,0
42,Salt pork,2 oz.,470,3,55,0,,0
43,Bacon,2 slices,95,4,8,1,7,0
44,Beef,3 oz.,245,23,16,0,15,0
45,Hamburger,3 oz.,245,21,17,0,15,0
46,Ground lean,3 oz.,185,24,10,0,9,0
47,Roast beef,3 oz.,390,16,36,0,35,0
48,Steak,3 oz.,330,20,27,0,25,0
49,"Steak, lean, as round",3 oz.,220,24,12,0,11,0
50,Corned beef,3 oz.,185,22,10,0,9,0
51,Corned beef hash canned,3 oz.,120,12,8,6,7,t
52,Corned beef hash Dried,2 oz.,115,19,4,0,4,0
53,Pot-pie,1 pie,480,18,28,32,25,t
54,Corned beef hash Stew,1 cup,185,15,10,15,9,t
55,chicken,3 oz.,185,23,9,0,7,0
56,"Fried, breast or leg and thigh chicken",3 oz.,245,25,15,0,11,0
57,Roasted chicken,3 1/2 oz.,290,25,20,0,16,0
58,"Chicken livers, fried",3 med.,140,22,14,2.3,12,0
59,"Duck, domestic",3 1/2 oz.,370,16,28,0,0,0
60,"Lamb, chop, broiled",4 oz.,480,24,35,0,33,0
61,Leg roasted,3 oz.,314,20,14,0,14,0
62,"Shoulder, braised",3 oz.,285,18,23,0,21,0
63,"Pork, chop, 1 thick",3 1/2 oz.,260,16,21,0,18,0
64,Ham pan-broiled,3 oz.,290,16,22,0,19,0
65,"Ham, as ",2 oz.,170,13,13,0,11,0
66,"Ham, canned, spiced",2 oz.,165,8,14,1,12,0
67,Pork roast,3 oz.,310,21,24,0,21,0
68,Pork sausage,3 1/2 oz.,475,18,44,0,40,0
69,Turkey,3 1/2 oz.,265,27,15,0,0,0
70,Veal,3 oz.,185,23,9,0,8,0
71,Roast,3 oz.,305,13,14,0,13,0
72,Clams,3 oz.,87,12,1,2,0,0
73,Cod,3 1/2 oz.,170,28,5,0,0,0
74,Crab meat,3 oz.,90,14,2,1,0,0
75,Fish sticks fried,5,200,19,10,8,5,0
76,Flounder,3 1/2 oz.,200,30,8,0,0,0
77,Haddock,3 oz.,135,16,5,6,4,0
78,Halibut,3 1/2 oz.,182,26,8,0,0,0
79,Herring,1 small,211,22,13,0,0,0
80,Lobster,aver.,92,18,1,t,0,0
81,Mackerel,3 oz.,155,18,9,0,0,a
82,Oysters,6-8 med.,231,232,233,236,234,235
83,Oyster stew,1 cup,125,19,6,0,1,0
84,Salmon,3 oz.,120,17,5,0,1,0
85,Sardines,3 oz.,180,22,9,0,4,0
86,Scallops,3 1/2 oz.,104,18,8,10,0,0
87,Shad,3 oz.,170,20,10,0,0,0
88,Shrimp,3 oz.,110,23,1,0,0,0
89,Swordfish,1 steak,180,27,6,0,0,0
90,Tuna,3 oz.,170,25,7,0,3,0
91,Artichoke,1 large,Aug-44,2,t,10,t,2
92,Asparagus,6 spears,18,1,t,3,t,0.5
93,Beans,1 cup,25,1,t,6,t,0.8
94,Lima,1 cup,140,8,t,24,t,3
95,"Lima, dry, cooked",1 cup,260,16,t,48,t,2
96,"Navy, baked with pork",3/4 cup,250,11,6,37,6,2
97,Red kidney,1 cup,230,15,1,42,0,2.5
98,Bean sprouts,1 cup,17,1,t,3,0,0.3
99,Beet greens,1 cup,27,2,t,6,0,1.4
100,Beetroots,1 cup,1,12,0,0.8,,t
101,Broccoli,1 cup,45,5,t,8,0,1.9
102,Brussels sprouts,1 cup,60,6,t,12,0,1.7
103,Sauerkraut,1 cup,32,1,t,7,0,1.2
104,Steamed cabbage,1 cup,40,2,t,9,0,1.3
105,Carrots,1 cup,45,1,t,10,0,0.9
106,"Raw, grated",1 cup,45,1,t,10,0,1.2
107,"Strips, from raw",1 mad.,20,t,t,5,0,0.5
108,Cauliflower,1 cup,30,3,t,6,0,1
109,Celery,1 cup,20,1,t,4,0,1
110,Stalk raw,1 large,5,1,t,1,0,0.3
111,Chard steamed,1 cup,30,2,t,7,0,1.4
112,Collards,1 cup,51,5,t,8,0,2
113,Corn,1 ear,92,3,1,21,t,0.8
114,cooked or canned,1 cup,170,5,t,41,0,1.6
115,Cucumbers,8,6,t,0,1,0,0.2
116,Dandelion greens,1 cup,80,5,1,16,0,3.2
117,Eggplant,1 cup,30,2,t,9,0,1
118,Endive,2 oz.,10,1,t,2,0,0.6
119,Kale,1 cup,45,4,1,8,0,0.9
120,Kohlrabi,1 cup,40,2,t,9,0,1.5
121,"Lambs quarters, steamed",1 cup,48,5,t,7,0,3.2
122,Lentils,1 cup,212,15,t,38,0,2.4
123,Lettuce,1/4 head,14,1,t,2,0,0.5
124,Iceberg,1/4 head,13,t,t,3,0,0.5
125,Mushrooms canned,4,12,2,t,4,0,t
126,Mustard greens,1,30,3,t,6,0,1.2
127,Okra,1 1/3 cups,32,1,t,7,0,1
128,Onions,1,80,2,t,18,0,1.6
129,"Raw, green",6 small,22,t,t,5,0,1
130,Parsley,2 T.,2,t,t,t,0,t
131,Parsnips,1 cup,95,2,1,22,0,3
132,Peas,1 cup,66,3,t,13,0,0.1
133,"Fresh, steamed peas",1 cup,70,5,t,12,0,2.2
134,Frozen peas,1 cup,,5,t,12,0,1.8
135,Split cooked peas,4 cups,115,8,t,21,0,0.4
136,heated peas,1 cup,53,3,t,10,0,1
137,Peppers canned,1 pod,10,t,t,2,0,t
138,"Peppers Raw, green, sweet",1 large,25,1,t,6,0,1.4
139,Peppers with beef and crumbs,1 med.,255,19,9,24,8,1
140,"Potatoes, baked",1 med.,100,2,t,22,0,0.5
141,French-fried,10 pieces,155,-1,7,20,3,0.4
142,Potatoes Mashed with milk and butter,1 cup,230,4,12,28,11,0.7
143,"Potatoes, pan-tried",3/4 cup,268,4,14,33,6,0.4
144,Scalloped with cheese potatoes,3/4 cup,145,6,8,14,7,0.4
145,Steamed potatoes before peeling,1 med.,80,2,t,19,0,0.4
146,Potato chips,10,110,1,7,10,4,t
147,Radishes,5 small,10,t,0,2,0,0.3
148,Rutabagas,4 cups,32,t,0,8,0,1.4
149,Soybeans,1 cup,260,22,11,20,0,3.2
150,Spinach,1 cup,26,3,t,3,0,1
151,Squash,1 cup,35,1,t,8,0,0.6
152,"Winter, mashed",1 cup,95,4,t,23,0,2.6
153,Sweet potatoes,1 med.,155,2,1,36,0,1
154,Candied,1 med.,235,2,6,80,5,1.5
155,Tomatoes,1 cup,50,2,t,9,0,1
156,"Raw, 2 by 2 1/2",1 med.,30,1,t,6,0,0.6
157,Tomato juice,1 cup,50,2,t,10,0,0.6
158,Tomato catsup,1 T.,15,t,t,4,0,t
159,Turnip greens,1 cup,45,4,1,8,0,1.8
160,"Turnips, steamed",1 cup,40,1,t,9,0,1.8
161,"Watercress stems, raw",1 cup,9,1,t,1,0,0.3
162,Apple juice canned,1 cup,125,t,0,34,0,0
163,Apple vinegar,1/3 cup,14,t,0,3,0,0
164,"Apples, raw",1 med,70,t,t,18,0,1
165,Stewed or canned,1 cup,100,t,t,26,0,2
166,Apricots,1 cup,220,2,t,57,0,1
167,"Dried, uncooked",1/2 cup,220,4,t,50,0,1
168,Fresh,3 med.,55,1,t,14,0,0.7
169,"Nectar, or juice",1 cup,140,1,t,36,0,2
170,Avocado,1/2 large,185,2,18,6,12,1.8
171,Banana,1 med.,85,1,t,23,0,0.9
172,Blackberries,1 cup,85,2,1,19,0,6.6
173,Blueberries,1 cup,245,1,t,65,0,2
174,Cantaloupe,1/2 med.,40,1,t,9,0,2.2
175,Cherries,1 cup,100,2,1,26,0,2
